answer_id,quest_id,text,answer,person,
1,1,あかい？,1,professor,apple
2,1,あまい？,1,robot,apple
3,1,あきのくだもの？,1,woman_art,apple
4,2,あまい？,1,man_work,banana
5,2,にほんでつくってる？,0,professor,banana
6,2,れいぞうこにいれる？,0,robot,banana
7,3,まるい？,1,woman_art,baseball
8,3,すき？,0,professor,baseball
9,3,スポーツ？,1,professor,baseball
10,4,あつい？,1,robot,bath
11,4,すき？,1,woman_art,bath
12,4,Eureka?,1,man_work,bath
13,5,ゆうめい？,1,professor,betoben
14,5,さっか？,0,robot,betoben
15,5,すごい？,0,woman_art,betoben
16,6,ビデオ？,1,man_work,camera
17,6,ふるい？,1,professor,camera
18,6,スマホでじゅうぶんでは？,1,robot,camera
19,7,よくつかう？,0,robot,colorpencil
20,7,きれい？,1,woman_art,colorpencil
21,7,もってる？,1,woman_art,colorpencil
22,8,すき？,1,robot,concent
23,8,いえにある？,0,man_work,concent
24,8,しろい？,1,professor,concent
25,9,くろい？,1,professor,crow
26,9,すき？,0,man_work,crow
27,9,まちにいる？,1,woman_art,crow
28,10,えいようはある？,0,woman_art,cucumber
29,10,あまい？,0,man_work,cucumber
30,10,すき？,0,professor,cucumber
31,11,すき？,1,robot,denchi
32,11,いきてる？,0,man_work,denchi
33,11,ちいさい？,1,woman_art,denchi
34,12,きれい？,1,woman_art,eclipse
35,12,りくつはわかる？,1,professor,eclipse
36,12,なにかのぜんちょう？,1,woman_art,eclipse
37,13,すき？,1,professor,familycomputer
38,13,あまい,0,robot,familycomputer
39,13,すごい？,1,man_work,familycomputer
40,14,はやい？,1,man_work,ford
41,14,いきてる？,0,robot,ford
42,14,ちいさい？,0,robot,ford
43,15,きいろ？,0,professor,full-moon
44,15,おおきい？,1,man_work,full-moon
45,15,ひとつきにいっかい？,1,woman_art,full-moon
46,16,あたまよい？,1,robot,gallileo
47,16,がか？,0,woman_art,gallileo
48,16,"ガリレオってだれだよ",1,man_work,gallileo
49,17,たかい？,1,professor,giraffe
50,17,いきてる？,1,robot,giraffe
51,17,かわいい？,1,woman_art,giraffe
52,18,あおい？,0,man_work,headphone
53,18,たかい？,0,man_work,headphone
54,18,わたしのほうがすごい？,1,robot,headphone
55,19,おおきい？,1,woman_art,hot-air-balloon
56,19,つめたい？,0,man_work,hot-air-balloon
57,19,とぶ？,1,professor,hot-air-balloon
58,20,いきてる？,1,robot,japanese-cherry-trees
59,20,かわいい？,1,woman_art,japanese-cherry-trees
60,20,あきにさく？,0,man_work,japanese-cherry-trees
61,21,すごい？,1,professor,katana
62,21,わたしのほうがすごい？,1,robot,katana
63,21,おもい?,0,woman_art,katana
64,22,ほしい？,1,man_work,kyoman
65,22,わたしのほうがたかい！,1,robot,kyoman
66,22,"5000ちょうえんほしい！",1,man_work,kyoman
67,23,かわいい？,1,woman_art,love
68,23,いきてる？,0,robot,love
69,23,おおきい？,0,professor,love
70,24,10GB?,0,man_work,memory-card
71,24,わたしのほうがすごい？,1,robot,memory-card
72,24,わたしがもってそう？,0,woman_art,memory-card
73,25,えらい？,1,professor,napoleon
74,25,いまもいきてる？,0,robot,napoleon
75,25,イタリアじん？,0,woman_art,napoleon
76,26,カッコいい！,1,man_work,nobunaga
77,26,しょうぐん？,0,professor,nobunaga
78,26,"なかぬなら　なかせてみよう　ホトトギス",0,robot,nobunaga
79,27,1まんえん？,0,professor,noguchi
80,27,さっか？,0,man_work,noguchi
81,27,ほしい？,0,woman_art,noguchi
82,28,かわいい！,1,man_work,panda-bear
83,28,かわいい！,1,woman_art,panda-bear
84,28,いきてる？,1,robot,panda-bear
85,29,いきてる？,0,robot,pebbles
86,29,すき？,1,professor,pebbles
87,29,おおきい？,0,woman_art,pebbles
88,30,カッコいい！,1,man_work,ryoma
89,30,せんごくじだい？,0,professor,ryoma
90,30,"にほんのよあけぜよ",1,man_work,ryoma
91,31,ちいさい？,0,woman_art,ship
92,31,わたしのほうがすごい？,1,robot,ship
93,31,ほしい？,1,man_work,ship
94,32,きいろい？,1,robot,sunflower
95,32,せがひくい？,0,woman_art,sunflower
96,32,ふゆにさく？,0,man_work,sunflower
97,33,とくい？,1,professor,syogi
98,33,わたしはこれがとくいですよ,1,robot,syogi
99,33,やってる？,1,woman_art,syogi
100,34,わたしのほうがすごい？,1,robot,train
101,34,せきゆでうごく？,0,professor,train
102,34,カッコいいよな,1,man_work,train
103,35,ながい？,1,man_work,tunnel
104,35,くらい？,0,robot,tunnel
105,35,こわい？,1,woman_art,tunnel
106,36,よくたべる？,1,robot,wheat
107,36,こめ？,0,professor,wheat
108,36,はるにできる？,0,man_work,wheat
109,37,みどり？,0,man_work,zebra
110,37,いきてる？,1,robot,zebra
111,37,アフリカにいる？,1,woman_art,zebra